node_id,node_type,x,y,elevation_m,flood_depth_m
320,road,80.2285918,13.0242865,9.0,0.0
321,road,80.2284818,13.0244507,9.0,0.0
322,road,80.2067157,12.976276,1.0,0.0
323,road,80.2066346,12.9761665,3.0,0.0
326,road,80.2220148,13.0090503,14.0,0.0
327,road,80.221904,13.0091239,14.0,0.0
328,road,80.2498873,12.9861932,7.0,0.0
329,road,80.2091783,13.0351921,13.0,0.0
330,road,80.2091986,13.0352977,13.0,0.0
331,road,80.246357,13.0485432,12.0,3.0
332,road,80.2462767,13.0486304,12.0,3.0
333,road,80.2033927,12.9784366,4.0,0.0
334,road,80.2034662,12.9785453,4.0,0.0
336,road,80.2565019,13.0009168,10.0,0.0
337,road,80.2565789,13.0015953,10.0,0.0
338,road,80.2682268,13.0409067,7.0,3.0
339,road,80.23986,13.0310314,13.0,0.0
340,road,80.2428757,13.0066016,14.0,0.0
341,road,80.2473998,13.0066491,11.0,0.0
342,road,80.2476619,13.0066597,7.0,0.0
343,road,80.2468172,13.0391271,11.0,2.0
344,road,80.2004944,13.0018123,17.0,0.0
345,road,80.2158533,13.0416119,13.0,0.0
346,road,80.2173384,13.0437768,12.0,0.0
347,road,80.2187458,13.0467597,13.0,0.0
348,road,80.219162,13.0481887,13.0,2.0
349,road,80.2122385,13.0374627,15.0,0.0
350,road,80.2124417,13.0374591,15.0,0.0
351,road,80.2518245,12.9778666,4.0,0.0
352,road,80.251317,12.9883249,8.0,0.0
356,road,80.2101176,12.9737176,2.0,0.0
357,road,80.2099693,12.973591,0.0,0.0
358,road,80.2395968,13.0461655,12.0,3.0
359,road,80.255758,12.9875915,11.0,0.0
360,road,80.2558611,12.9875765,7.0,0.0
362,road,80.1962569,13.0081968,24.0,0.0
363,road,80.2580865,12.9874074,11.0,0.0
364,road,80.1968708,13.0085593,23.0,0.0
365,road,80.2572202,13.0389122,9.0,0.0
366,road,80.2577211,13.0068228,11.0,2.0
367,road,80.2558837,12.9876844,7.0,0.0
368,road,80.2232656,13.0139131,14.0,0.0
369,road,80.2095566,13.0322513,12.0,0.0
370,road,80.2095772,13.0323652,12.0,0.0
371,road,80.2117894,13.0320337,14.0,2.0
372,road,80.2097601,13.0323294,12.0,0.0
373,road,80.2193279,12.9781365,5.0,0.0
374,road,80.2204894,12.97508,7.0,0.0
375,road,80.2207189,12.9754853,7.0,0.0
376,road,80.2250367,12.978234,8.0,0.0
377,road,80.2125864,13.0443599,13.0,3.0
378,road,80.2124429,13.0443933,14.0,3.0
379,road,80.212243,13.0443735,14.0,3.0
380,road,80.2043487,13.0359019,16.0,0.0
381,road,80.2055053,13.0426488,14.0,3.0
382,road,80.2043693,13.0360176,16.0,0.0
383,road,80.2438772,13.0398873,14.0,2.0
384,road,80.2440531,13.0399667,14.0,2.0
385,road,80.2438858,13.0399803,14.0,2.0
386,road,80.2116672,13.032048,14.0,2.0
387,road,80.211898,13.0331227,14.0,0.0
388,road,80.2042843,13.0134377,12.0,0.0
389,road,80.2098294,13.0131716,10.0,0.0
390,road,80.2096803,13.0131533,10.0,0.0
391,road,80.2097114,13.0131179,10.0,0.0
392,road,80.2521534,12.9850757,4.0,0.0
393,road,80.2522508,12.9850484,4.0,0.0
394,road,80.2679926,13.0021362,9.0,0.0
395,road,80.2670611,13.0006532,7.0,1.0
396,road,80.2670076,12.99952,8.0,0.0
397,road,80.2203135,12.9746827,9.0,0.0
398,road,80.2205119,12.9746256,9.0,0.0
399,road,80.2557785,12.9876994,11.0,0.0
400,road,80.2559174,12.9968581,9.0,1.0
401,road,80.255665,12.9968333,10.0,1.0
402,road,80.2558262,12.9967052,10.0,1.0
403,road,80.2026665,13.0057889,16.0,0.0
404,road,80.2028183,13.0059014,14.0,0.0
405,road,80.2024806,13.0063956,16.0,0.0
406,road,80.201362,13.0051569,18.0,0.0
407,road,80.2302236,13.0348538,10.0,0.0
408,road,80.2303642,13.0348613,10.0,0.0
409,road,80.2559017,12.9945522,9.0,0.0
410,road,80.2559699,12.9945587,9.0,0.0
411,road,80.2325732,13.0407959,13.0,0.0
