src,dst,weight,edge_type
18,541,203.5341251161876,road-road
18,366,208.0526032046306,road-road
18,63,208.02163351461397,road-road
18,67,218.00530948370957,road-road
18,66,104.52360574529418,road-road
18,70,131.30746767786258,road-road
18,64,42.312172647778205,road-road
18,859,214.98153231516292,hospital-road
18,65,83.03149405216841,road-road
18,69,88.90717188026855,road-road
18,470,277.89710739272965,road-road
19,658,374.09871831669284,hospital-road
19,845,300.2358360882518,hospital-road
19,802,451.0810598006205,hospital-road
19,77,251.5381053997765,road-road
19,191,243.15988744074846,road-road
19,482,296.823165932919,road-road
19,192,237.09580586798427,road-road
19,483,307.3561948246138,road-road
19,780,285.20306766879355,hospital-road
19,540,437.05579671774746,road-road
19,193,349.06341951457387,road-road
19,490,400.708571262336,road-road
19,489,436.2004440877039,road-road
19,20,246.906008052215,road-road
19,811,435.42023213176157,hospital-road
19,641,319.43502115005174,hospital-road
19,810,433.06326065983814,hospital-road
19,663,427.4202067864703,hospital-road
19,781,432.5536532668386,hospital-road
19,338,411.8307112700143,road-road
19,258,201.17032012053826,road-road
19,257,191.38296883164926,road-road
19,260,404.74786298882714,road-road
19,777,338.9760851990762,hospital-road
19,814,319.30402224019474,hospital-road
19,612,344.5413506428003,hospital-road
19,786,348.9119774016196,hospital-road
19,691,490.5001080201761,hospital-road
19,809,432.7640018471382,hospital-road
19,280,493.3666543936373,road-road
20,73,496.1377651590225,road-road
20,75,458.3823432837822,road-road
20,658,261.2451944094583,hospital-road
20,845,271.43048160408347,hospital-road
20,802,334.72964989656543,hospital-road
20,77,42.83242199622844,road-road
20,191,8.541235496603775,road-road
20,482,153.20682384748335,road-road
20,192,9.838464091773428,road-road
20,483,152.98175018033496,road-road
20,780,160.15160710392126,hospital-road
20,540,355.68892235987335,road-road
20,193,215.67083036541158,road-road
20,490,360.75954850445896,road-road
20,489,337.15351048586825,road-road
20,76,403.81197141811566,road-road
20,215,415.9949463702028,road-road
20,21,416.32588636018187,road-road
20,811,377.4166871910407,hospital-road
20,641,443.7447650869069,hospital-road
20,258,448.03518413134594,road-road
20,257,438.1794621408476,road-road
21,77,458.61496867670786,road-road
21,191,424.42972372071813,road-road
21,482,264.24405508986905,road-road
21,192,417.13641263041035,road-road
21,483,263.3584367715594,road-road
21,780,261.9197775942404,hospital-road
21,540,77.34115695036094,road-road
21,193,200.6759664963196,road-road
21,490,134.46956852236835,road-road
21,489,81.44010806860703,road-road
21,76,77.7721922021552,road-road
21,215,80.40659325440467,road-road
21,811,95.0420876879066,hospital-road
21,781,342.75349895021515,hospital-road
21,338,469.55971919051115,road-road
21,260,470.31798454012664,road-road
22,857,244.72830213934887,hospital-road
22,161,33.54122321453852,road-road
22,163,147.88168979089477,road-road
22,35,131.1190210998726,road-road
22,162,147.75063027641568,road-road
22,34,204.49818050741223,road-road
22,766,401.8490258395451,hospital-road
22,575,283.71820170363577,hospital-road
22,615,329.10116745914644,hospital-road
22,23,179.76051018840627,road-road
22,665,356.4611740092347,hospital-road
22,613,455.62549707336643,hospital-road
22,659,331.5441663879185,hospital-road
23,857,420.931472886159,hospital-road
23,161,195.8565398043181,road-road
23,163,153.58173930756897,road-road
23,35,149.42570061723015,road-road
23,162,144.33226079509828,road-road
23,34,37.81486306706466,road-road
23,766,384.1076598576045,hospital-road
23,575,348.0631409074424,hospital-road
23,615,349.75512150700416,hospital-road
23,665,218.5237824431039,hospital-road
23,613,277.8933163387451,hospital-road
23,659,375.47922894775996,hospital-road
24,613,476.2139392991922,hospital-road
24,664,401.6717850347589,hospital-road
24,700,313.80331284789816,hospital-road
24,29,284.0875860983278,road-road
24,722,397.80891781789535,hospital-road
24,618,318.7458262194647,hospital-road
24,277,315.505601246834,road-road
24,194,41.15270438624236,road-road
24,30,400.60644930318205,road-road
24,668,436.6136397576514,hospital-road
24,278,328.9318663813733,road-road
24,654,55.71111311215112,hospital-road
24,195,79.43768080316927,road-road
25,849,456.39632793661224,hospital-road
25,850,406.77043441207513,hospital-road
25,718,245.40791926190218,hospital-road
25,810,365.1860609859671,hospital-road
25,663,453.85767444270425,hospital-road
25,139,279.3923159968739,road-road
25,224,271.21792621999464,road-road
25,447,78.12888915873181,road-road
25,223,5.950171679001906,road-road
25,499,83.35082541718147,road-road
25,434,101.43538279144026,road-road
25,445,23.37675810492388,road-road
25,138,22.986447852755518,road-road
25,446,30.86633095551867,road-road
25,425,252.27010541589107,road-road
25,433,99.7712904706674,road-road
25,26,372.8308514620659,road-road
25,424,247.98814373374512,road-road
25,622,483.0171070016943,hospital-road
25,691,437.2159659609667,hospital-road
25,809,479.06102992211964,hospital-road
26,139,380.976351202105,road-road
26,224,367.2807997195897,road-road
26,447,351.7385141886908,road-road
26,223,375.4904012124765,road-road
26,499,330.317495444673,road-road
26,434,424.9015889106999,road-road
26,445,355.245134171258,road-road
26,138,351.87320622471367,road-road
26,446,345.69832108394655,road-road
26,433,406.4359254397036,road-road
26,622,444.03013254032714,hospital-road
26,715,331.18150803278667,hospital-road
26,285,496.4120492255369,road-road
26,287,368.70274745697463,road-road
26,286,476.1637299046579,road-road
26,637,334.76149102890446,hospital-road
26,733,321.8783653239064,hospital-road
26,717,383.05163211287794,hospital-road
27,634,275.52290077046086,hospital-road
27,28,265.623151402505,road-road
27,858,285.6400816848272,hospital-road
27,642,32.49761833308877,hospital-road
27,502,36.970030985791844,road-road
27,604,185.70041860159358,hospital-road
27,55,321.4371195903243,road-road
27,56,216.81989381981427,road-road
27,57,491.94570638781715,road-road
28,634,40.836245229309455,hospital-road
28,858,33.86948284187065,hospital-road
28,642,264.79159012500605,hospital-road
28,502,302.1662975140972,road-road
28,604,87.5756284255659,hospital-road
28,55,201.2679857261179,road-road
28,56,359.2810306161971,road-road
28,774,466.62624951774785,hospital-road
28,679,461.50987438691465,hospital-road
29,613,463.74564649330046,hospital-road
29,774,443.8433885743727,hospital-road
29,773,455.47620804047693,hospital-road
29,679,279.3477484110032,hospital-road
29,664,119.15762860900286,hospital-road
29,700,47.71221254763977,hospital-road
29,722,272.1849486789984,hospital-road
29,277,435.1278690300077,road-road
29,194,291.2684916833063,road-road
29,30,318.2052845276985,road-road
29,278,437.2670943595591,road-road
29,654,243.323434450708,hospital-road
29,195,204.6711453363045,road-road
30,774,412.393851165166,hospital-road
30,773,377.3427093085666,hospital-road
30,679,478.70340936695914,hospital-road
30,676,472.58163149317556,hospital-road
30,74,462.78724723102374,road-road
30,664,331.3550036946447,hospital-road
30,700,284.34002655696264,hospital-road
30,722,62.03050984111576,hospital-road
30,618,465.66936609450227,hospital-road
30,277,262.2856414176228,road-road
30,73,416.25917525405634,road-road
30,194,372.0616620129833,road-road
30,75,447.7344279009154,road-road
30,278,250.6754601900771,road-road
30,654,405.47381892128794,hospital-road
30,195,355.93336499962794,road-road
31,373,314.0609160987504,road-road
31,649,233.36117179277315,hospital-road
31,472,499.2813555963806,road-road
31,397,190.6478513185777,road-road
31,374,144.1272067659342,road-road
31,585,211.98403632786926,hospital-road
31,712,93.42264157912234,hospital-road
31,552,425.3488033743051,power-road
31,398,184.53973009470658,road-road
31,375,94.13756038330217,road-road
31,639,96.28210835679589,hospital-road
31,220,495.5922543234493,road-road
31,303,494.7840793887678,road-road
31,874,100.59790215403379,hospital-road
31,178,12.855287086637997,road-road
31,584,134.23072521268114,hospital-road
31,376,466.66668584416976,road-road
31,833,262.2145213300531,hospital-road
31,471,496.36734594186237,road-road
31,678,458.65415515045424,hospital-road
31,603,477.2930057194563,hospital-road
32,609,242.46550855238598,hospital-road
32,451,325.4943169611282,road-road
32,695,378.5531149341297,hospital-road
32,607,466.3206557953529,hospital-road
32,734,74.05710519229056,hospital-road
32,702,50.63020397512578,hospital-road
33,197,176.13499391347668,road-road
33,209,14.776814244867243,road-road
33,723,124.9039935134761,hospital-road
33,566,182.37755012004516,hospital-road
33,468,202.99642554020465,road-road
33,553,286.7744295026476,power-road
33,461,486.3424213375322,road-road
33,862,449.1669324257155,hospital-road
33,861,455.6405376476461,hospital-road
33,863,484.5285338414208,hospital-road
33,599,469.7678907631667,hospital-road
33,466,446.1357485592322,road-road
33,314,451.2879208901879,road-road
33,595,185.46475630927964,hospital-road
33,480,229.43115109722805,road-road
33,279,221.34851663818253,road-road
33,57,477.9016276926686,road-road
34,857,448.51663260992956,hospital-road
34,161,215.91045220925616,road-road
34,163,148.02596525613146,road-road
34,35,148.05239461128224,road-road
34,162,138.4662238299796,road-road
34,766,417.64326080200607,hospital-road
34,575,385.8748936422008,hospital-road
34,615,386.4331355683186,hospital-road
34,665,232.30102604311188,hospital-road
34,613,263.8986933071686,hospital-road
34,659,412.9217564453547,hospital-road
35,857,355.5455010178223,hospital-road
35,161,117.58177138361773,road-road
35,163,16.76366473915425,road-road
35,162,18.824764719382696,road-road
35,766,490.7057641099359,hospital-road
35,575,402.2221526930125,hospital-road
35,615,432.98354603124966,hospital-road
35,665,367.19895929908444,hospital-road
35,613,409.61688557226654,hospital-road
35,659,444.54790250651246,hospital-road
36,525,302.54168409801235,road-road
36,524,294.114901499744,road-road
36,511,230.45097923783928,road-road
36,214,41.73133727063774,road-road
36,183,9.810075177889706,road-road
36,213,63.46684170483699,road-road
36,481,16.572355402367403,road-road
36,532,105.34111314181527,road-road
36,307,48.601310010900704,road-road
36,351,240.2313040101902,road-road
36,308,48.89497762930831,road-road
36,196,219.7008401434999,road-road
36,173,314.3698551816629,road-road
36,298,304.4511226526272,road-road
36,550,592.0106598564532,power-road
36,212,162.02585431258274,road-road
36,556,400.57563974592057,power-road
36,764,368.35596178468467,hospital-road
36,106,385.3182243482805,road-road
36,804,362.33211437062704,hospital-road
36,107,474.5688177769967,road-road
37,551,519.120123290934,power-road
37,644,289.08826641137296,hospital-road
37,288,472.34480211660843,road-road
37,38,471.59020852439045,road-road
37,711,463.3661597802547,hospital-road
37,680,381.53230393174846,hospital-road
37,689,250.8901678663312,hospital-road
37,636,392.81006977605716,hospital-road
37,407,27.857429253905163,road-road
37,600,225.4382709180876,hospital-road
37,537,254.69373720440726,road-road
37,538,297.3924512031297,road-road
